Código;Descripción
X62.68;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
X62.69;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, área industrial y de la construcción, durante una actividad no especificada
X62.70;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, granja, mientras realiza una actividad deportiva
X62.71;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, granja, mientras realiza una actividad de recreación
X62.72;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, granja, mientras trabaja en forma remunerada
X62.73;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, granja, mientras está ocupado en otros tipos de trabajo
X62.74;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, granja, mientras descansa, duerme, come o realiza otras actividades vitales
X62.78;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, granja, mientras está ocupado en otras actividades especificadas
X62.79;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, granja, durante una actividad no especificada
X62.80;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, otro lugar especificado, mientras realiza una actividad deportiva
X62.81;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, otro lugar especificado, mientras realiza una actividad de recreación
X62.82;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, otro lugar especificado, mientras trabaja en forma remunerada
X62.83;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, otro lugar especificado, mientras está ocupado en otros tipos de trabajo
X62.84;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, otro lugar especificado, mientras descansa, duerme, come o realiza otras actividades vitales
X62.88;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, otro lugar especificado, mientras está ocupado en otras actividades especificadas
X62.89;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, otro lugar especificado, durante una actividad no especificada
X62.90;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, lugar no especificado, mientras realiza una actividad deportiva
X62.91;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, lugar no especificado, mientras realiza una actividad de recreación
X62.92;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, lugar no especificado, mientras trabaja en forma remunerada
X62.93;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, lugar no especificado, mientras está ocupado en otros tipos de trabajo
X62.94;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
X62.98;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, lugar no especificado, mientras está ocupado en otras actividades especificadas
X62.99;Envenenamiento autoinfligido intencionalmente por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, lugar no especificado, durante una actividad no especificada
X63.00;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, vivienda, mientras realiza una actividad deportiva
X63.01;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, vivienda, mientras realiza una actividad de recreación
X63.02;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, vivienda, mientras trabaja en forma remunerada
X63.03;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, vivienda, mientras está ocupado en otros tipos de trabajo
X63.04;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
X63.08;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, vivienda, mientras está ocupado en otras actividades especificadas
X63.09;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, vivienda, durante una actividad no especificada
X63.10;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, institución residencial, mientras realiza una actividad deportiva
X63.11;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, institución residencial, mientras realiza una actividad de recreación
X63.12;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, institución residencial, mientras trabaja en forma remunerada
X63.13;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, institución residencial, mientras está ocupado en otros tipos de trabajo
X63.14;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
X63.18;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, institución residencial, mientras está ocupado en otras actividades especificadas
X63.19;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, institución residencial, durante una actividad no especificada
X63.20;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
X63.21;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
X63.22;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
X63.23;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trabajo
X63.24;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza otras actividades
X63.28;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades especificadas
X63.29;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
X63.30;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, áreas de deporte y atletismo, mientras realiza una actividad deportiva
X63.31;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, áreas de deporte y atletismo, mientras realiza una actividad de recreación
X63.32;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, áreas de deporte y atletismo, mientras trabaja en forma remunerada
X63.33;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
X63.34;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
X63.38;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
X63.39;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, áreas de deporte y atletismo, durante una actividad no especificada
X63.40;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, calles y carreteras, mientras realiza una actividad deportiva
X63.41;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, calles y carreteras, mientras realiza una actividad de recreación
X63.42;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, calles y carreteras, mientras trabaja en forma remunerada
X63.43;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, calles y carreteras, mientras está ocupado en otros tipos de trabajo
X63.44;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
X63.48;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, calles y carreteras, mientras está ocupado en otras actividades especificadas
X63.49;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, calles y carreteras, durante una actividad no especificada
X63.50;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, comercio y área de servicios, mientras realiza una actividad deportiva
X63.51;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, comercio y área de servicios, mientras realiza una actividad de recreación
X63.52;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, comercio y área de servicios, mientras trabaja en forma remunerada
X63.53;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
X63.54;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
X63.58;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
X63.59;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, comercio y área de servicios, durante una actividad no especificada
X63.60;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, área industrial y de la construcción, mientras realiza una actividad deportiva
X63.61;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, área industrial y de la construcción, mientras realiza una actividad de recreación
X63.62;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, área industrial y de la construcción, mientras trabaja en forma remunerada
X63.63;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
X63.64;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
X63.68;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
X63.69;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, área industrial y de la construcción, durante una actividad no especificada
X63.70;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, granja, mientras realiza una actividad deportiva
X63.71;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, granja, mientras realiza una actividad de recreación
X63.72;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, granja, mientras trabaja en forma remunerada
X63.73;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, granja, mientras está ocupado en otros tipos de trabajo
X63.74;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, granja, mientras descansa, duerme, come o realiza otras actividades vitales
X63.78;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, granja, mientras está ocupado en otras actividades especificadas
X63.79;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, granja, durante una actividad no especificada
X63.80;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, otro lugar especificado, mientras realiza una actividad deportiva
X63.81;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, otro lugar especificado, mientras realiza una actividad de recreación
X63.82;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, otro lugar especificado, mientras trabaja en forma remunerada
X63.83;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, otro lugar especificado, mientras está ocupado en otros tipos de trabajo
X63.84;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, otro lugar especificado, mientras descansa, duerme, come o realiza otras actividades vitales
X63.88;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, otro lugar especificado, mientras está ocupado en otras actividades especificadas
X63.89;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, otro lugar especificado, durante una actividad no especificada
X63.90;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, lugar no especificado, mientras realiza una actividad deportiva
X63.91;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, lugar no especificado, mientras realiza una actividad de recreación
X63.92;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, lugar no especificado, mientras trabaja en forma remunerada
X63.93;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, lugar no especificado, mientras está ocupado en otros tipos de trabajo
X63.94;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
X63.98;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, lugar no especificado, mientras está ocupado en otras actividades especificadas
X63.99;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, lugar no especificado, durante una actividad no especificada
X64.00;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, vivienda, mientras realiza una actividad deportiva
X64.01;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, vivienda, mientras realiza una actividad de recreación
X64.02;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, vivienda, mientras trabaja en forma remunerada
X64.03;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, vivienda, mientras está ocupado en otros tipos de trabajo
X64.04;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
X64.08;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, vivienda, mientras está ocupado en otras actividades especificadas
X64.09;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, vivienda, durante una actividad no especificada
X64.10;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, institución residencial, mientras realiza una actividad deportiva
X64.11;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, institución residencial, mientras realiza una actividad de recreación
X64.12;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, institución residencial, mientras trabaja en forma remunerada
X64.13;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, institución residencial, mientras está ocupado en otros tipos de trabajo
X64.14;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
X64.18;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, institución residencial, mientras está ocupado en otras actividades especificadas
X64.19;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, institución residencial, durante una actividad no especificada
X64.20;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
X64.21;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
X64.22;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
X64.23;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trab
X64.24;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza ot
X64.28;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades e
X64.29;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
X64.30;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, áreas de deporte y atletismo, mientras realiza una actividad deportiva
X64.31;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, áreas de deporte y atletismo, mientras realiza una actividad de recreación
X64.32;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, áreas de deporte y atletismo, mientras trabaja en forma remunerada
X64.33;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
X64.34;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
X64.38;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
X64.39;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, áreas de deporte y atletismo, durante una actividad no especificada
X64.40;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, calles y carreteras, mientras realiza una actividad deportiva
X64.41;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, calles y carreteras, mientras realiza una actividad de recreación
X64.42;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, calles y carreteras, mientras trabaja en forma remunerada
X64.43;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, calles y carreteras, mientras está ocupado en otros tipos de trabajo
X64.44;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
X64.48;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, calles y carreteras, mientras está ocupado en otras actividades especificadas
X64.49;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, calles y carreteras, durante una actividad no especificada
X64.50;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, comercio y área de servicios, mientras realiza una actividad deportiva
X64.51;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, comercio y área de servicios, mientras realiza una actividad de recreación
X64.52;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, comercio y área de servicios, mientras trabaja en forma remunerada
X64.53;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
X64.54;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
X64.58;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
X64.59;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, comercio y área de servicios, durante una actividad no especificada
X64.60;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, área industrial y de la construcción, mientras realiza una actividad deportiva
X64.61;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, área industrial y de la construcción, mientras realiza una actividad de recreación
X64.62;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, área industrial y de la construcción, mientras trabaja en forma remunerada
X64.63;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
X64.64;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
X64.68;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
X64.69;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, área industrial y de la construcción, durante una actividad no especificada
X64.70;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, granja, mientras realiza una actividad deportiva
X64.71;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, granja, mientras realiza una actividad de recreación
X64.72;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, granja, mientras trabaja en forma remunerada
X64.73;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, granja, mientras está ocupado en otros tipos de trabajo
X64.74;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, granja, mientras descansa, duerme, come o realiza otras actividades vitales
X64.78;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, granja, mientras está ocupado en otras actividades especificadas
X64.79;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, granja, durante una actividad no especificada
X64.80;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, otro lugar especificado, mientras realiza una actividad deportiva
X64.81;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, otro lugar especificado, mientras realiza una actividad de recreación
X64.82;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, otro lugar especificado, mientras trabaja en forma remunerada
X64.83;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, otro lugar especificado, mientras está ocupado en otros tipos de trabajo
X64.84;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, otro lugar especificado, mientras descansa, duerme, come o realiza otras actividades vitales
X64.88;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, otro lugar especificado, mientras está ocupado en otras actividades especificadas
X64.89;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, otro lugar especificado, durante una actividad no especificada
X64.90;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, lugar no especificado, mientras realiza una actividad deportiva
X64.91;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, lugar no especificado, mientras realiza una actividad de recreación
X64.92;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, lugar no especificado, mientras trabaja en forma remunerada
X64.93;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, lugar no especificado, mientras está ocupado en otros tipos de trabajo
X64.94;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
X64.98;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, lugar no especificado, mientras está ocupado en otras actividades especificadas
X64.99;Envenenamiento autoinfligido intencionalmente por, y exposición a otras drogas, medicamentos y sustancias biológicas, y los no especificados, lugar no especificado, durante una actividad no especificada
X65.00;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, vivienda, mientras realiza una actividad deportiva
X65.01;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, vivienda, mientras realiza una actividad de recreación
X65.02;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, vivienda, mientras trabaja en forma remunerada
